timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum
2020-09-18T20:00:00Z,45120.0,47872.1187672608,43596.115111505766,52148.12242301583,-0.6179761546399966,0,0
2020-09-18T21:00:00Z,45394.0,45526.00955090736,40994.156717238875,50057.86238457584,0.03222500120714001,0,0
2020-09-18T22:00:00Z,41704.0,41849.75911215525,37075.82628191259,46623.6919423979,0.027745917116662237,0,0
2020-09-18T23:00:00Z,39113.0,39442.52191788738,34438.17325605646,44446.8705797183,-0.019228249159742933,0,0
2020-09-19T00:00:00Z,37540.0,38106.2641394237,32881.66538301289,43330.86289583451,-0.07961097528418022,0,0
2020-09-19T01:00:00Z,35438.0,36103.282643439066,30667.344587522173,41539.22069935596,-0.10595724780481287,0,0
2020-09-19T02:00:00Z,34310.0,35434.165905713366,29794.805591399156,41073.526220027576,-0.22203632067729873,0,0
2020-09-19T03:00:00Z,34727.0,37044.00257031342,31208.30557553564,42879.69956509121,-0.52176622172995,0,0
2020-09-19T04:00:00Z,36165.0,41239.25349675321,35213.614230187486,47264.89276331894,-1.214070606369335,0,0
2020-09-19T05:00:00Z,37057.0,44814.52842217248,38604.75385625224,51024.30298809272,-1.8928272697251145,0,0
2020-09-19T06:00:00Z,39137.0,46904.3110677372,40515.706316070544,53292.91581940386,-1.9039036810544328,0,0
2020-09-19T07:00:00Z,42021.0,48788.26478504759,42225.70113493629,55350.828435158895,-1.6597383814394608,0,0
2020-09-19T08:00:00Z,43693.0,49992.97137883179,43260.94252859372,56725.00022906986,-1.5489692592765023,0,1
2020-09-19T09:00:00Z,44911.0,51306.03642404549,44408.704815955134,58203.36803213584,-1.5793255320787198,0,1
2020-09-19T10:00:00Z,47314.0,52654.86480939897,45596.10045985109,59713.629158946846,-1.3162262088497312,0,1
2020-09-19T11:00:00Z,45904.0,51862.140766267294,44645.553969791225,59078.72756274336,-1.4782834651887333,0,1
2020-09-19T12:00:00Z,44539.0,51290.33563236995,43919.30477965469,58661.36648508521,-1.6857142233456344,0,1
2020-09-19T13:00:00Z,43047.0,43466.06477447257,41850.72034914023,45081.40919980491,-0.06368916430859796,0,1
2020-09-19T14:00:00Z,41848.0,42042.31766890315,39873.62572872057,44211.00960908573,-0.0058847183955349335,0,1
2020-09-19T15:00:00Z,41593.0,41394.41073458945,38745.26837306006,44043.55309611884,0.09490113299845769,0,1
2020-09-19T16:00:00Z,42127.0,41774.1920280773,38735.4904692464,44812.89358690819,0.13451578802155553,0,1
2020-09-19T17:00:00Z,43041.0,42058.57941895615,38668.45534358789,45448.703494324414,0.295605252811406,0,1
2020-09-19T18:00:00Z,43288.0,42228.5389958051,38522.74569822254,45934.33229338766,0.3159902495367427,0,1
2020-09-19T19:00:00Z,41550.0,40192.118603575145,36194.447467892445,44189.789739257845,0.39348153970697075,0,1
2020-09-19T20:00:00Z,42241.0,39988.02208719789,35718.820454814544,44257.223719581234,0.623953229775948,0,0
2020-09-19T21:00:00Z,42974.0,38868.88395257609,34344.23443191222,43393.53347323997,1.098195451271955,0,0
2020-09-19T22:00:00Z,39383.0,35180.446500419894,30414.096846395772,39946.79615444401,1.1227124642476034,0,0
2020-09-19T23:00:00Z,36762.0,32693.184065974965,27696.78039862475,37689.587733325185,1.0886299532080908,0,0
2020-09-20T00:00:00Z,35204.0,31272.72012651766,26056.41237052874,36489.02788250658,1.0538466169812073,0,0
2020-09-20T01:00:00Z,33066.0,29231.736404513824,23804.421500477827,34659.051308549824,1.0294054647820947,0,0
2020-09-20T02:00:00Z,31993.0,28398.10436639354,22767.687021434664,34028.52171135242,0.9681936500342319,0,0
2020-09-20T03:00:00Z,31971.0,29590.59595247288,23764.150699309845,35417.04120563591,0.6570052352595721,0,0
2020-09-20T04:00:00Z,32728.0,32794.264235837065,26778.175504986917,38810.35296668721,0.029888498031446085,0,0
